-1.8	0.03
-1.8	3.486
-1.758	3.698
-1.695	3.93
-1.613	4.144
-1.454	4.404
-1.296	4.61
-1.118	4.76
-0.906	4.915
-0.578	5.077
-0.266	5.14
0.012	5.17
0.295	5.148
0.656	5.056
0.935	4.924
1.26	4.69
1.52	4.37
1.724	3.993
1.79	3.72
1.84	3.51
1.82	0.087
-1.8	0.03
-1.07	0.34
-1.138	0.359
-1.2	0.399
-1.242	0.463
-1.258	0.534
-1.244	4.192
-1.215	4.255
-1.163	4.31
-1.075	4.34
-1	4.32
-0.935	4.277
-0.894	4.2
-0.89	0.515
-0.901	0.464
-0.937	0.401
-0.996	0.365
-1.07	0.34
-1.817	-0.166
-1.814	-3.31
-1.81	-3.56
-1.766	-3.8
-1.67	-4.075
-1.52	-4.364
-1.324	-4.604
-1.11	-4.803
-0.856	-4.953
-0.56	-5.086
-0.247	-5.156
0	-5.183
0.32	-5.143
0.66	-5.033
1.015	-4.85
1.302	-4.6
1.58	-4.273
1.753	-3.84
1.823	-3.448
1.823	-0.12
-1.817	-0.166
-0.01	-5.364
0.31	-5.337
0.627	-5.27
0.927	-5.116
1.25	-4.91
1.523	-4.64
1.704	-4.397
1.95	-3.854
2.004	-3.48
2.01	3.51
1.978	3.75
1.88	4.097
1.713	4.437
1.52	4.697
1.276	4.93
0.993	5.14
0.565	5.306
0.24	5.364
-0.004	5.377
-0.31	5.333
-0.69	5.23
-0.99	5.094
-1.26	4.905
-1.514	4.66
-1.724	4.35
-1.9	3.947
-1.955	3.743
-2	3.51
-2.02	-3.49
-1.974	-3.783
-1.91	-3.997
-1.814	-4.22
-1.67	-4.475
-1.47	-4.724
-1.276	-4.92
-1.047	-5.07
-0.8	-5.2
-0.54	-5.29
-0.27	-5.34
-0.01	-5.364
